loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
13.2131,7378.78125,9.666666666666667e-06,0.97,20,,,,,,,,,,,,,
,,,0.97,20,6.398167133331299,9.3804,3.3234,8.6305,8.8526,88.3829,6.63,0.419,,,,,
10.4826,3556.797607421875,9.316666666666667e-06,1.99,41,,,,,,,,,,,,,
,,,1.99,41,5.411167144775391,9.4556,3.4044,8.6933,8.9027,84.9182,6.901,0.436,,,,,
9.5752,3934.379150390625,8.983333333333334e-06,2.96,61,,,,,,,,,,,,,
,,,2.96,61,4.637004852294922,9.6855,3.4825,8.8575,9.0818,85.4706,6.856,0.433,,,,,
7.8789,1090.6258544921875,8.633333333333334e-06,3.98,82,,,,,,,,,,,,,
,,,3.98,82,3.853257894515991,10.3119,3.6778,9.4001,9.6183,85.6957,6.838,0.432,,,,,
6.7038,689.1376953125,8.283333333333334e-06,4.99,103,,,,,,,,,,,,,
,,,4.99,103,3.2416603565216064,10.6540,3.9099,9.7340,9.9699,85.8714,6.824,0.431,,,,,
6.0647,685.8876953125,7.950000000000002e-06,5.96,123,,,,,,,,,,,,,
,,,5.96,123,2.743875741958618,11.4821,4.1765,10.3092,10.7546,85.7494,6.834,0.431,,,,,
5.1127,162.64749145507812,7.600000000000001e-06,6.98,144,,,,,,,,,,,,,
,,,6.98,144,2.3275232315063477,12.0188,4.3778,10.7508,11.2700,85.7735,6.832,0.431,,,,,
4.5635,160.65110778808594,7.25e-06,8.0,165,,,,,,,,,,,,,
,,,8.0,165,2.0223731994628906,12.6301,4.5510,11.2583,11.8388,85.9182,6.82,0.431,,,,,
4.4031,996.5126342773438,6.916666666666667e-06,8.97,185,,,,,,,,,,,,,
,,,8.97,185,1.7558720111846924,13.0496,4.7590,11.5644,12.0911,85.8797,6.823,0.431,,,,,
3.7451,76.35525512695312,6.566666666666667e-06,9.99,206,,,,,,,,,,,,,
,,,9.99,206,1.5315438508987427,14.3523,5.2884,12.4286,13.3260,85.8201,6.828,0.431,,,,,
3.5236,68.0030288696289,6.2333333333333335e-06,10.96,226,,,,,,,,,,,,,
,,,10.96,226,1.3598878383636475,15.2202,5.7701,13.0525,14.0538,85.779,6.832,0.431,,,,,
3.0425,21.89832878112793,5.883333333333334e-06,11.98,247,,,,,,,,,,,,,
,,,11.98,247,1.2661386728286743,15.9286,5.9302,13.4862,14.5761,85.8843,6.823,0.431,,,,,
2.6165,11.789743423461914,5.533333333333334e-06,12.99,268,,,,,,,,,,,,,
,,,12.99,268,1.168800711631775,16.8972,6.4181,14.1710,15.3600,85.9181,6.82,0.431,,,,,
2.4011,3.9890236854553223,5.2e-06,13.96,288,,,,,,,,,,,,,
,,,13.96,288,1.1222240924835205,17.5307,6.5836,14.4599,15.8557,85.8977,6.822,0.431,,,,,
2.0104,2.7816152572631836,4.85e-06,14.98,309,,,,,,,,,,,,,
,,,14.98,309,1.091131329536438,18.3866,7.2233,15.1663,16.6065,85.9119,6.821,0.431,,,,,
1.8365,2.7670602798461914,4.5e-06,16.0,330,,,,,,,,,,,,,
,,,16.0,330,1.0655313730239868,18.7939,7.5094,15.4058,16.8933,86.0916,6.807,0.43,,,,,
1.755,2.0763628482818604,4.166666666666667e-06,16.97,350,,,,,,,,,,,,,
,,,16.97,350,1.039948582649231,19.0351,7.8589,15.7403,17.1398,85.9529,6.818,0.43,,,,,
1.5603,57.171424865722656,3.816666666666667e-06,17.99,371,,,,,,,,,,,,,
,,,17.99,371,1.0189248323440552,19.2486,8.1534,15.8572,17.2760,85.9924,6.815,0.43,,,,,
1.5694,1.4020167589187622,3.4833333333333336e-06,18.96,391,,,,,,,,,,,,,
,,,18.96,391,1.0042650699615479,19.5583,8.2852,16.0499,17.4234,86.0297,6.812,0.43,,,,,
1.4408,1.498412847518921,3.133333333333334e-06,19.98,412,,,,,,,,,,,,,
,,,19.98,412,0.9845523238182068,19.6239,8.3686,16.1951,17.5606,85.9674,6.817,0.43,,,,,
1.3962,1.529331088066101,2.7833333333333335e-06,20.99,433,,,,,,,,,,,,,
,,,20.99,433,0.9683430790901184,19.6663,8.3278,16.1696,17.5346,85.9869,6.815,0.43,,,,,
1.4243,2.038611650466919,2.4500000000000003e-06,21.96,453,,,,,,,,,,,,,
,,,21.96,453,0.9604467153549194,19.6951,8.2318,16.2356,17.5378,85.9741,6.816,0.43,,,,,
1.3299,1.2578904628753662,2.1000000000000002e-06,22.98,474,,,,,,,,,,,,,
,,,22.98,474,0.9515325427055359,19.6460,8.2250,16.1515,17.4525,86.0202,6.812,0.43,,,,,
1.3031,1.971325159072876,1.75e-06,24.0,495,,,,,,,,,,,,,
,,,24.0,495,0.941510796546936,19.7015,8.2133,16.1886,17.5033,86.2393,6.795,0.429,,,,,
1.3671,1.5914801359176636,1.4166666666666667e-06,24.97,515,,,,,,,,,,,,,
,,,24.97,515,0.9351791143417358,19.8233,8.3181,16.3018,17.6114,86.1477,6.802,0.429,,,,,
1.2875,1.214978575706482,1.066666666666667e-06,25.99,536,,,,,,,,,,,,,
,,,25.99,536,0.9309102892875671,19.8588,8.3271,16.3327,17.6718,86.2138,6.797,0.429,,,,,
1.3243,1.2701075077056885,7.333333333333334e-07,26.96,556,,,,,,,,,,,,,
,,,26.96,556,0.9276197552680969,19.8931,8.3934,16.3815,17.7490,86.2488,6.794,0.429,,,,,
1.2618,1.0290939807891846,3.8333333333333335e-07,27.98,577,,,,,,,,,,,,,
,,,27.98,577,0.9255197644233704,19.9410,8.4718,16.4166,17.8076,86.2154,6.797,0.429,,,,,
1.2718,1.0988558530807495,3.333333333333334e-08,28.99,598,,,,,,,,,,,,,
,,,28.99,598,0.9244815707206726,19.9260,8.4616,16.4068,17.7956,86.2037,6.798,0.429,,,,,
1.2039,1.040848970413208,0.0,29.09,600,,,,,,,,,,,,,
,,,29.09,600,0.9244541525840759,19.9260,8.4616,16.4068,17.7956,86.3356,6.787,0.429,,,,,
,,,29.09,600,,,,,,,,,41178.7215,3.836,0.015,3.672963496429793e+17,3.617572181622187
